"index","country","continent","year","population","number_of_languages","year_index"
"0","Afghanistan","Asia","2018","37172386","5","1"
"1","Albania","Europe","2018","2866376","3","1"
"2","Algeria","Africa","2018","42228429","2","1"
"3","American Samoa","Oceania","2017","55620","3","1"
"4","Andorra","Europe","2018","77006","4","1"
"5","Angola","Africa","2018","30809762","9","1"
"6","Antigua and Barbuda","North America","2018","96286","2","1"
"7","Argentina","South America","2018","44494502","3","1"
"8","Armenia","Asia","2018","2951776","2","1"
"9","Aruba","North America","2017","105366","4","1"
"10","Australia","Oceania","2018","24992369","8","1"
"11","Austria","Europe","2018","8847037","8","1"
"12","Azerbaijan","Asia","2018","9942334","4","1"
"13","Bahamas","North America","2017","381761","2","1"
"14","Bahrain","Asia","2018","1569439","2","1"
"15","Bangladesh","Asia","2018","161356039","7","1"
"16","Barbados","North America","2017","286233","2","1"
"17","Belarus","Europe","2018","9485386","4","1"
"18","Belgium","Europe","2018","11422068","6","1"
"19","Belize","North America","2018","383071","4","1"
"20","Benin","Africa","2018","11485048","7","1"
"21","Bermuda","North America","2013","65001","1","1"
"22","Bhutan","Asia","2018","754394","3","1"
"23","Bolivia","South America","2018","11353142","4","1"
"24","Bosnia and Herzegovina","Europe","2018","3323929","1","1"
"25","Botswana","Africa","2018","2254126","5","1"
"26","Brazil","South America","2018","209469333","5","1"
"27","Brunei","Asia","2018","428962","4","1"
"28","Bulgaria","Europe","2018","7024216","4","1"
"29","Burkina Faso","Africa","2018","19751535","6","1"
"30","Burundi","Africa","2018","11175378","3","1"
"31","Cambodia","Asia","2018","16249798","4","1"
"32","Cameroon","Africa","2018","25216237","8","1"
"33","Canada","North America","2018","37058856","12","1"
"34","Cape Verde","Africa","2018","543767","2","1"
"35","Cayman Islands","North America","2017","63382","1","1"
"36","Central African Republic","Africa","2018","4666377","6","1"
"37","Chad","Africa","2018","15477751","8","1"
"38","Chile","South America","2018","18729160","4","1"
"39","China","Asia","2018","1392730000","12","1"
"40","Colombia","South America","2018","49648685","5","1"
"41","Comoros","Africa","2018","832322","5","1"
"42","Congo","Africa","2018","5244363","6","1"
"43","Costa Rica","North America","2018","4999441","4","1"
"44","Côte d’Ivoire","Africa","2018","25069229","5","1"
"45","Croatia","Europe","2018","4089400","2","1"
"46","Cuba","North America","2017","11339259","1","1"
"47","Cyprus","Asia","2018","1189265","2","1"
"48","Czech Republic","Europe","2018","10625695","8","1"
"49","Denmark","Europe","2018","5797446","7","1"
"50","Djibouti","Africa","2018","958920","3","1"
"51","Dominica","North America","2018","71625","2","1"
"52","Dominican Republic","North America","2018","10627165","2","1"
"53","Ecuador","South America","2018","17084357","2","1"
"54","Egypt","Africa","2018","98423595","2","1"
"55","El Salvador","North America","2018","6420744","2","1"
"56","Equatorial Guinea","Africa","2018","1308974","2","1"
"57","Eritrea","Africa","2011","3213972","6","1"
"58","Estonia","Europe","2018","1320884","5","1"
"59","Ethiopia","Africa","2018","109224559","7","1"
"60","Faroe Islands","Europe","2016","48173","2","1"
"61","Federated States of Micronesia","Oceania","2018","112640","6","1"
"62","Fiji Islands","Oceania","2018","883483","2","1"
"63","Finland","Europe","2018","5518050","5","1"
